Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,15:00 ,Home,D,1.0,1.0,Sheffield Utd,1.0,1.0,10714.0,Steve Cook,3-4-3,Kevin Friend
Sat,2019-08-17,15:00 ,Away,W,2.0,1.0,Aston Villa,1.3,1.8,40996.0,Steve Cook,4-4-1-1,Martin Atkinson
Sun,2019-08-25,14:00 ,Home,L,1.0,3.0,Manchester City,1.5,2.4,10486.0,Steve Cook,3-4-3,Andre Marriner
Sat,2019-08-31,15:00 ,Away,L,1.0,3.0,Leicester City,0.8,1.9,31613.0,Steve Cook,4-4-2,Peter Bankes
Sun,2019-09-15,14:00 ,Home,W,3.0,1.0,Everton,1.5,1.4,10416.0,Steve Cook,4-4-2,Paul Tierney
Fri,2019-09-20,20:00 ,Away,W,3.0,1.0,Southampton,1.3,2.2,30168.0,Steve Cook,4-4-2,Chris Kavanagh
Sat,2019-09-28,15:00 ,Home,D,2.0,2.0,West Ham,2.0,1.4,10729.0,Steve Cook,4-4-2,Stuart Attwell
Sun,2019-10-06,14:00 ,Away,L,0.0,1.0,Arsenal,0.5,1.0,60326.0,Steve Cook,4-4-2,Martin Atkinson
Sat,2019-10-19,15:00 ,Home,D,0.0,0.0,Norwich City,0.6,0.4,10669.0,Steve Cook,4-4-2,Lee Mason
Sat,2019-10-26,15:00 ,Away,D,0.0,0.0,Watford,1.1,0.7,20821.0,Steve Cook,4-4-2,Mike Dean
Sat,2019-11-02,12:30 ,Home,W,1.0,0.0,Manchester Utd,1.7,0.7,10669.0,Steve Cook,4-4-2,Chris Kavanagh
Sat,2019-11-09,15:00 ,Away,L,1.0,2.0,Newcastle Utd,2.3,3.1,44424.0,Steve Cook,4-4-2,Martin Atkinson
Sat,2019-11-23,15:00 ,Home,L,1.0,2.0,Wolves,0.5,1.4,10539.0,Simon Francis,3-4-3,Simon Hooper
Sat,2019-11-30,15:00 ,Away,L,2.0,3.0,Tottenham,1.3,2.4,59626.0,Steve Cook,4-4-2,Lee Mason
Tue,2019-12-03,19:30 ,Away,L,0.0,1.0,Crystal Palace,0.3,0.3,23497.0,Nathan Aké,4-4-2,Anthony Taylor
Sat,2019-12-07,15:00 ,Home,L,0.0,3.0,Liverpool,0.2,2.4,10832.0,Simon Francis,4-4-2,Chris Kavanagh
Sat,2019-12-14,15:00 ,Away,W,1.0,0.0,Chelsea,0.9,1.7,40243.0,Simon Francis,4-4-1-1,Graham Scott
Sat,2019-12-21,15:00 ,Home,L,0.0,1.0,Burnley,0.2,0.2,10020.0,Simon Francis,4-5-1,Martin Atkinson
Thu,2019-12-26,15:00 ,Home,D,1.0,1.0,Arsenal,1.0,1.7,10234.0,Steve Cook,4-5-1,Stuart Attwell
Sat,2019-12-28,12:30 ,Away,L,0.0,2.0,Brighton,0.6,0.9,30441.0,Steve Cook,4-4-2,Paul Tierney
Wed,2020-01-01,17:30 ,Away,L,0.0,4.0,West Ham,0.3,1.9,59917.0,Simon Francis,4-3-3,Graham Scott
Sun,2020-01-12,14:00 ,Home,L,0.0,3.0,Watford,0.3,1.9,10384.0,Simon Francis,4-4-2,Mike Dean
Sat,2020-01-18,15:00 ,Away,L,0.0,1.0,Norwich City,1.0,2.1,26781.0,Steve Cook,4-3-3,Paul Tierney
Tue,2020-01-21,19:30 ,Home,W,3.0,1.0,Brighton,1.7,1.3,10065.0,Simon Francis,4-4-1-1,Kevin Friend
Sat,2020-02-01,15:00 ,Home,W,2.0,1.0,Aston Villa,2.2,1.5,10722.0,Simon Francis,4-3-3,Anthony Taylor
Sun,2020-02-09,14:00 ,Away,L,1.0,2.0,Sheffield Utd,1.2,1.8,30361.0,Simon Francis,4-5-1,Jonathan Moss
Sat,2020-02-22,15:00 ,Away,L,0.0,3.0,Burnley,1.7,2.6,18227.0,Simon Francis,4-3-3,Mike Dean
Sat,2020-02-29,15:00 ,Home,D,2.0,2.0,Chelsea,2.0,1.9,10667.0,Steve Cook,4-3-3,Andre Marriner
Sat,2020-03-07,12:30 ,Away,L,1.0,2.0,Liverpool,1.3,1.2,53323.0,Steve Cook,4-1-4-1,Paul Tierney
