Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,15:00 ,Home,W,3.0,0.0,Southampton,0.7,0.8,19784.0,Ben Mee,4-4-2,Graham Scott
Sat,2019-08-17,12:30 ,Away,L,1.0,2.0,Arsenal,1.3,1.0,60214.0,Ben Mee,4-4-2,Mike Dean
Sun,2019-08-25,16:30 ,Away,D,1.0,1.0,Wolves,1.1,1.5,30522.0,Ben Mee,4-4-2,Craig Pawson
Sat,2019-08-31,17:30 ,Home,L,0.0,3.0,Liverpool,0.5,1.0,21762.0,Ben Mee,4-4-2,Chris Kavanagh
Sat,2019-09-14,15:00 ,Away,D,1.0,1.0,Brighton,0.6,0.9,29398.0,Ben Mee,4-4-2,Michael Oliver
Sat,2019-09-21,15:00 ,Home,W,2.0,0.0,Norwich City,1.4,0.7,19712.0,Ben Mee,4-4-2,David Coote
Sat,2019-09-28,15:00 ,Away,D,2.0,2.0,Aston Villa,1.3,0.7,41546.0,Ben Mee,4-4-2,Lee Mason
Sat,2019-10-05,15:00 ,Home,W,1.0,0.0,Everton,0.6,0.8,20650.0,Ben Mee,4-4-2,Graham Scott
Sat,2019-10-19,15:00 ,Away,L,1.0,2.0,Leicester City,1.5,1.3,32105.0,Ben Mee,4-4-2,Jonathan Moss
Sat,2019-10-26,17:30 ,Home,L,2.0,4.0,Chelsea,2.0,0.9,20975.0,Ben Mee,4-4-2,Michael Oliver
Sat,2019-11-02,15:00 ,Away,L,0.0,3.0,Sheffield Utd,0.7,2.0,31131.0,Ben Mee,4-4-2,Simon Hooper
Sat,2019-11-09,15:00 ,Home,W,3.0,0.0,West Ham,1.7,0.5,20255.0,Ben Mee,4-4-2,Kevin Friend
Sat,2019-11-23,15:00 ,Away,W,3.0,0.0,Watford,2.3,1.0,19711.0,Ben Mee,4-4-2,Paul Tierney
Sat,2019-11-30,15:00 ,Home,L,0.0,2.0,Crystal Palace,1.7,0.6,19818.0,Ben Mee,4-4-2,Peter Bankes
Tue,2019-12-03,20:15 ,Home,L,1.0,4.0,Manchester City,0.5,1.8,20101.0,Ben Mee,4-4-1-1,Jonathan Moss
Sat,2019-12-07,15:00 ,Away,L,0.0,5.0,Tottenham,0.5,2.3,58401.0,Ben Mee,4-4-2,Kevin Friend
Sat,2019-12-14,15:00 ,Home,W,1.0,0.0,Newcastle Utd,0.9,0.7,19798.0,Ben Mee,4-4-2,Tim Robinson
Sat,2019-12-21,15:00 ,Away,W,1.0,0.0,Bournemouth,0.2,0.2,10020.0,Ben Mee,4-4-2,Martin Atkinson
Thu,2019-12-26,15:00 ,Away,L,0.0,1.0,Everton,0.5,1.8,39177.0,Ben Mee,4-4-2,Anthony Taylor
Sat,2019-12-28,19:45 ,Home,L,0.0,2.0,Manchester Utd,0.4,1.9,21924.0,Ben Mee,4-4-2,Mike Dean
Wed,2020-01-01,12:30 ,Home,L,1.0,2.0,Aston Villa,2.1,1.0,19561.0,Ben Mee,4-4-2,Michael Oliver
Sat,2020-01-11,15:00 ,Away,L,0.0,3.0,Chelsea,0.6,2.7,40396.0,Ben Mee,4-4-1-1,Kevin Friend
Sun,2020-01-19,14:00 ,Home,W,2.0,1.0,Leicester City,1.3,2.2,19788.0,Ben Mee,4-4-2,Anthony Taylor
Wed,2020-01-22,20:15 ,Away,W,2.0,0.0,Manchester Utd,0.7,2.0,73198.0,Ben Mee,4-4-2,Jonathan Moss
Sun,2020-02-02,14:00 ,Home,D,0.0,0.0,Arsenal,1.9,1.1,21048.0,Ben Mee,4-4-2,Chris Kavanagh
Sat,2020-02-15,12:30 ,Away,W,2.0,1.0,Southampton,0.6,0.7,26302.0,Ben Mee,4-4-2,Simon Hooper
Sat,2020-02-22,15:00 ,Home,W,3.0,0.0,Bournemouth,2.6,1.7,18227.0,Ben Mee,4-4-2,Mike Dean
Sat,2020-02-29,15:00 ,Away,D,0.0,0.0,Newcastle Utd,0.6,1.0,52219.0,Ben Mee,4-4-2,Andy Madley
Sat,2020-03-07,17:30 ,Home,D,1.0,1.0,Tottenham,2.4,1.3,20496.0,Ben Mee,4-4-2,Jonathan Moss
