Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sun,2019-08-11,14:00 ,Home,D,0.0,0.0,Wolves,0.6,0.6,32015.0,Kasper Schmeichel,4-1-4-1,Andre Marriner
Sun,2019-08-18,16:30 ,Away,D,1.0,1.0,Chelsea,0.7,1.3,40629.0,Kasper Schmeichel,4-1-4-1,Oliver Langford
Sat,2019-08-24,15:00 ,Away,W,2.0,1.0,Sheffield Utd,0.8,0.8,30079.0,Kasper Schmeichel,4-4-2◆,Andy Madley
Sat,2019-08-31,15:00 ,Home,W,3.0,1.0,Bournemouth,1.9,0.8,31613.0,Kasper Schmeichel,4-1-4-1,Peter Bankes
Sat,2019-09-14,15:00 ,Away,L,0.0,1.0,Manchester Utd,0.4,1.1,73689.0,Kasper Schmeichel,4-1-4-1,Martin Atkinson
Sat,2019-09-21,12:30 ,Home,W,2.0,1.0,Tottenham,1.5,1.3,32129.0,Kasper Schmeichel,4-1-4-1,Paul Tierney
Sun,2019-09-29,16:30 ,Home,W,5.0,0.0,Newcastle Utd,1.1,0.1,32168.0,Kasper Schmeichel,4-1-4-1,Craig Pawson
Sat,2019-10-05,15:00 ,Away,L,1.0,2.0,Liverpool,0.2,2.8,53322.0,Kasper Schmeichel,4-1-4-1,Chris Kavanagh
Sat,2019-10-19,15:00 ,Home,W,2.0,1.0,Burnley,1.3,1.5,32105.0,Kasper Schmeichel,4-1-4-1,Jonathan Moss
Fri,2019-10-25,20:00 ,Away,W,9.0,0.0,Southampton,3.6,0.4,28762.0,Kasper Schmeichel,4-1-4-1,Andre Marriner
Sun,2019-11-03,14:00 ,Away,W,2.0,0.0,Crystal Palace,1.4,0.4,25480.0,Kasper Schmeichel,4-1-4-1,Paul Tierney
Sat,2019-11-09,17:30 ,Home,W,2.0,0.0,Arsenal,1.7,0.8,32209.0,Kasper Schmeichel,4-1-4-1,Chris Kavanagh
Sat,2019-11-23,15:00 ,Away,W,2.0,0.0,Brighton,3.4,0.9,30640.0,Kasper Schmeichel,4-1-4-1,Mike Dean
Sun,2019-12-01,16:30 ,Home,W,2.0,1.0,Everton,2.3,0.9,32144.0,Kasper Schmeichel,4-5-1,Graham Scott
Wed,2019-12-04,19:30 ,Home,W,2.0,0.0,Watford,2.8,0.3,31763.0,Kasper Schmeichel,4-1-4-1,Craig Pawson
Sun,2019-12-08,14:00 ,Away,W,4.0,1.0,Aston Villa,4.4,1.1,41908.0,Kasper Schmeichel,4-4-2◆,Michael Oliver
Sat,2019-12-14,15:00 ,Home,D,1.0,1.0,Norwich City,1.4,1.8,32101.0,Kasper Schmeichel,4-4-2◆,Andy Madley
Sat,2019-12-21,17:30 ,Away,L,1.0,3.0,Manchester City,0.9,3.3,54415.0,Kasper Schmeichel,4-1-4-1,Mike Dean
Thu,2019-12-26,20:00 ,Home,L,0.0,4.0,Liverpool,0.1,3.1,32211.0,Kasper Schmeichel,4-1-4-1,Michael Oliver
Sat,2019-12-28,17:30 ,Away,W,2.0,1.0,West Ham,2.2,1.0,59919.0,Wes Morgan,4-4-1-1,David Coote
Wed,2020-01-01,15:00 ,Away,W,3.0,0.0,Newcastle Utd,1.6,0.8,52178.0,Kasper Schmeichel,3-5-2,Martin Atkinson
Sat,2020-01-11,15:00 ,Home,L,1.0,2.0,Southampton,0.9,2.3,32115.0,Kasper Schmeichel,4-1-4-1,Lee Mason
Sun,2020-01-19,14:00 ,Away,L,1.0,2.0,Burnley,2.2,1.3,19788.0,Kasper Schmeichel,4-1-4-1,Anthony Taylor
Wed,2020-01-22,19:30 ,Home,W,4.0,1.0,West Ham,2.9,1.6,31968.0,Kasper Schmeichel,4-1-4-1,David Coote
Sat,2020-02-01,12:30 ,Home,D,2.0,2.0,Chelsea,1.5,0.5,32186.0,Kasper Schmeichel,4-1-4-1,Lee Mason
Fri,2020-02-14,20:00 ,Away,D,0.0,0.0,Wolves,0.7,1.0,31682.0,Kasper Schmeichel,4-1-4-1,Mike Dean
Sat,2020-02-22,17:30 ,Home,L,0.0,1.0,Manchester City,1.1,2.3,32068.0,Kasper Schmeichel,3-5-2,Paul Tierney
Fri,2020-02-28,20:00 ,Away,L,0.0,1.0,Norwich City,1.4,0.9,27010.0,Kasper Schmeichel,4-1-4-1,Craig Pawson
Mon,2020-03-09,20:00 ,Home,W,4.0,0.0,Aston Villa,2.3,0.5,32125.0,Kasper Schmeichel,4-1-4-1,Michael Oliver
