Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,12:30 ,Away,W,5.0,0.0,West Ham,3.3,0.7,59870.0,David Silva,4-3-3,Mike Dean
Sat,2019-08-17,17:30 ,Home,D,2.0,2.0,Tottenham,3.0,0.2,54503.0,Kevin De Bruyne,4-3-3,Michael Oliver
Sun,2019-08-25,14:00 ,Away,W,3.0,1.0,Bournemouth,2.4,1.5,10486.0,David Silva,4-3-3,Andre Marriner
Sat,2019-08-31,15:00 ,Home,W,4.0,0.0,Brighton,1.9,0.5,54386.0,David Silva,4-3-3,Jonathan Moss
Sat,2019-09-14,17:30 ,Away,L,2.0,3.0,Norwich City,2.3,1.7,27035.0,David Silva,4-2-3-1,Kevin Friend
Sat,2019-09-21,15:00 ,Home,W,8.0,0.0,Watford,6.0,0.4,54273.0,David Silva,4-3-3,Mike Dean
Sat,2019-09-28,17:30 ,Away,W,3.0,1.0,Everton,3.3,2.5,39222.0,Fernandinho,4-3-3,Michael Oliver
Sun,2019-10-06,14:00 ,Home,L,0.0,2.0,Wolves,1.2,1.7,54435.0,David Silva,4-2-3-1,Craig Pawson
Sat,2019-10-19,17:30 ,Away,W,2.0,0.0,Crystal Palace,2.4,0.5,25480.0,David Silva,4-3-3,Anthony Taylor
Sat,2019-10-26,12:30 ,Home,W,3.0,0.0,Aston Villa,2.6,1.0,54506.0,David Silva,4-3-3,Graham Scott
Sat,2019-11-02,15:00 ,Home,W,2.0,1.0,Southampton,2.9,0.6,53922.0,David Silva,4-3-3,Lee Mason
Sun,2019-11-10,16:30 ,Away,L,1.0,3.0,Liverpool,1.3,0.9,53324.0,Fernandinho,4-2-3-1,Michael Oliver
Sat,2019-11-23,17:30 ,Home,W,2.0,1.0,Chelsea,1.2,1.2,54486.0,David Silva,4-3-3,Martin Atkinson
Sat,2019-11-30,12:30 ,Away,D,2.0,2.0,Newcastle Utd,2.5,0.3,49937.0,David Silva,4-3-3,Chris Kavanagh
Tue,2019-12-03,20:15 ,Away,W,4.0,1.0,Burnley,1.8,0.5,20101.0,David Silva,4-3-3,Jonathan Moss
Sat,2019-12-07,17:30 ,Home,L,1.0,2.0,Manchester Utd,2.2,1.6,54403.0,David Silva,4-3-3,Anthony Taylor
Sun,2019-12-15,16:30 ,Away,W,3.0,0.0,Arsenal,1.8,0.4,60031.0,Fernandinho,4-2-3-1,Paul Tierney
Sat,2019-12-21,17:30 ,Home,W,3.0,1.0,Leicester City,3.3,0.9,54415.0,Fernandinho,4-3-3,Mike Dean
Fri,2019-12-27,19:45 ,Away,L,2.0,3.0,Wolves,1.6,2.0,31737.0,Fernandinho,4-2-3-1,Martin Atkinson
Sun,2019-12-29,18:00 ,Home,W,2.0,0.0,Sheffield Utd,1.0,0.9,54512.0,Fernandinho,4-3-3,Chris Kavanagh
Wed,2020-01-01,17:30 ,Home,W,2.0,1.0,Everton,1.6,1.1,54407.0,Fernandinho,3-4-3,Andre Marriner
Sun,2020-01-12,16:30 ,Away,W,6.0,1.0,Aston Villa,2.4,0.9,41823.0,David Silva,4-3-3,Jonathan Moss
Sat,2020-01-18,15:00 ,Home,D,2.0,2.0,Crystal Palace,2.0,0.5,54439.0,David Silva,4-3-3,Graham Scott
Tue,2020-01-21,19:30 ,Away,W,1.0,0.0,Sheffield Utd,2.8,0.8,31285.0,Fernandinho,3-4-3,Lee Mason
Sun,2020-02-02,16:30 ,Away,L,0.0,2.0,Tottenham,3.1,0.3,61022.0,Fernandinho,4-3-3,Mike Dean
Wed,2020-02-19,19:30 ,Home,W,2.0,0.0,West Ham,2.3,0.1,52159.0,David Silva,4-3-3,Kevin Friend
Sat,2020-02-22,17:30 ,Away,W,1.0,0.0,Leicester City,2.3,1.1,32068.0,Fernandinho,4-3-3,Paul Tierney
Sun,2020-03-08,16:30 ,Away,L,0.0,2.0,Manchester Utd,0.6,1.4,73288.0,Fernandinho,4-3-3,Mike Dean
