Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sun,2019-08-11,14:00 ,Home,L,0.0,1.0,Arsenal,0.5,0.9,47635.0,Jamaal Lascelles,3-5-2,Martin Atkinson
Sat,2019-08-17,15:00 ,Away,L,1.0,3.0,Norwich City,0.6,1.6,27059.0,Jamaal Lascelles,3-5-2,Stuart Attwell
Sun,2019-08-25,16:30 ,Away,W,1.0,0.0,Tottenham,0.4,1.1,59245.0,Jamaal Lascelles,3-4-3,Mike Dean
Sat,2019-08-31,15:00 ,Home,D,1.0,1.0,Watford,1.0,1.3,44157.0,Jamaal Lascelles,3-4-3,Graham Scott
Sat,2019-09-14,12:30 ,Away,L,1.0,3.0,Liverpool,0.4,2.7,51430.0,Jamaal Lascelles,3-4-3,Andre Marriner
Sat,2019-09-21,17:30 ,Home,D,0.0,0.0,Brighton,0.9,1.1,43316.0,Jamaal Lascelles,3-4-3,Martin Atkinson
Sun,2019-09-29,16:30 ,Away,L,0.0,5.0,Leicester City,0.1,1.1,32168.0,Jamaal Lascelles,4-2-3-1,Craig Pawson
Sun,2019-10-06,16:30 ,Home,W,1.0,0.0,Manchester Utd,0.6,0.7,51198.0,Jamaal Lascelles,3-4-3,Mike Dean
Sat,2019-10-19,15:00 ,Away,L,0.0,1.0,Chelsea,0.3,2.1,40513.0,Jamaal Lascelles,3-4-3,Andre Marriner
Sun,2019-10-27,14:00 ,Home,D,1.0,1.0,Wolves,0.7,1.0,46019.0,Jamaal Lascelles,3-4-3,Kevin Friend
Sat,2019-11-02,15:00 ,Away,W,3.0,2.0,West Ham,1.6,1.8,59907.0,Jamaal Lascelles,3-4-3,Stuart Attwell
Sat,2019-11-09,15:00 ,Home,W,2.0,1.0,Bournemouth,3.1,2.3,44424.0,Jamaal Lascelles,3-4-3,Martin Atkinson
Mon,2019-11-25,20:00 ,Away,L,0.0,2.0,Aston Villa,0.8,2.0,41821.0,Jonjo Shelvey,3-4-3,Lee Mason
Sat,2019-11-30,12:30 ,Home,D,2.0,2.0,Manchester City,0.3,2.5,49937.0,Jonjo Shelvey,3-4-3,Chris Kavanagh
Thu,2019-12-05,19:30 ,Away,W,2.0,0.0,Sheffield Utd,0.8,1.3,30409.0,Jonjo Shelvey,3-4-3,Stuart Attwell
Sun,2019-12-08,14:00 ,Home,W,2.0,1.0,Southampton,1.2,2.4,42303.0,Jonjo Shelvey,3-4-3,David Coote
Sat,2019-12-14,15:00 ,Away,L,0.0,1.0,Burnley,0.7,0.9,19798.0,Andy Carroll,3-4-3,Tim Robinson
Sat,2019-12-21,15:00 ,Home,W,1.0,0.0,Crystal Palace,0.4,1.5,45453.0,Jonjo Shelvey,3-5-2,Simon Hooper
Thu,2019-12-26,17:30 ,Away,L,1.0,4.0,Manchester Utd,0.8,1.5,73206.0,Federico Fernández,3-5-2,Kevin Friend
Sat,2019-12-28,15:00 ,Home,L,1.0,2.0,Everton,1.7,3.5,52211.0,Jonjo Shelvey,3-5-2,Lee Mason
Wed,2020-01-01,15:00 ,Home,L,0.0,3.0,Leicester City,0.8,1.6,52178.0,Jonjo Shelvey,3-4-3,Martin Atkinson
Sat,2020-01-11,15:00 ,Away,D,1.0,1.0,Wolves,0.3,1.0,31570.0,Federico Fernández,3-4-3,Peter Bankes
Sat,2020-01-18,17:30 ,Home,W,1.0,0.0,Chelsea,0.6,2.1,52217.0,Jamaal Lascelles,3-4-3,Chris Kavanagh
Tue,2020-01-21,19:30 ,Away,D,2.0,2.0,Everton,1.0,1.7,38822.0,Jamaal Lascelles,3-4-3,Simon Hooper
Sat,2020-02-01,15:00 ,Home,D,0.0,0.0,Norwich City,0.8,1.5,52204.0,Jamaal Lascelles,3-4-3,Martin Atkinson
Sun,2020-02-16,16:30 ,Away,L,0.0,4.0,Arsenal,0.9,2.0,60188.0,Jamaal Lascelles,3-4-3,Lee Mason
Sat,2020-02-22,15:00 ,Away,L,0.0,1.0,Crystal Palace,0.2,1.3,25486.0,Jamaal Lascelles,3-4-3,Peter Bankes
Sat,2020-02-29,15:00 ,Home,D,0.0,0.0,Burnley,1.0,0.6,52219.0,Jamaal Lascelles,4-4-2,Andy Madley
Sat,2020-03-07,15:00 ,Away,W,1.0,0.0,Southampton,2.8,0.4,30096.0,Jamaal Lascelles,4-4-2,Graham Scott
