Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Fri,2019-08-09,20:00 ,Away,L,1.0,4.0,Liverpool,1.0,1.8,53333.0,Grant Hanley,4-2-3-1,Michael Oliver
Sat,2019-08-17,15:00 ,Home,W,3.0,1.0,Newcastle Utd,1.6,0.6,27059.0,Grant Hanley,4-2-3-1,Stuart Attwell
Sat,2019-08-24,12:30 ,Home,L,2.0,3.0,Chelsea,1.0,1.9,27032.0,Grant Hanley,4-2-3-1,Martin Atkinson
Sat,2019-08-31,15:00 ,Away,L,0.0,2.0,West Ham,1.3,1.8,59950.0,Christoph Zimmermann,4-2-3-1,Paul Tierney
Sat,2019-09-14,17:30 ,Home,W,3.0,2.0,Manchester City,1.7,2.3,27035.0,Alexander Tettey,4-2-3-1,Kevin Friend
Sat,2019-09-21,15:00 ,Away,L,0.0,2.0,Burnley,0.7,1.4,19712.0,Alexander Tettey,4-2-3-1,David Coote
Sat,2019-09-28,15:00 ,Away,L,0.0,2.0,Crystal Palace,0.6,1.5,25477.0,Ben Godfrey,4-2-3-1,Jonathan Moss
Sat,2019-10-05,15:00 ,Home,L,1.0,5.0,Aston Villa,3.2,3.0,27045.0,Ben Godfrey,4-2-3-1,Andy Madley
Sat,2019-10-19,15:00 ,Away,D,0.0,0.0,Bournemouth,0.4,0.6,10669.0,Alexander Tettey,4-1-4-1,Lee Mason
Sun,2019-10-27,16:30 ,Home,L,1.0,3.0,Manchester Utd,1.1,4.1,27108.0,Alexander Tettey,4-1-4-1,Stuart Attwell
Sat,2019-11-02,15:00 ,Away,L,0.0,2.0,Brighton,0.4,2.3,30539.0,Alexander Tettey,4-2-3-1,Kevin Friend
Fri,2019-11-08,20:00 ,Home,L,0.0,2.0,Watford,0.8,0.7,27074.0,Alexander Tettey,4-2-3-1,Andre Marriner
Sat,2019-11-23,15:00 ,Away,W,2.0,0.0,Everton,1.6,0.7,39241.0,Alexander Tettey,4-2-3-1,Anthony Taylor
Sun,2019-12-01,14:00 ,Home,D,2.0,2.0,Arsenal,1.4,2.0,27067.0,Christoph Zimmermann,4-2-3-1,Paul Tierney
Wed,2019-12-04,19:30 ,Away,L,1.0,2.0,Southampton,0.9,1.2,27019.0,Christoph Zimmermann,4-2-3-1,Kevin Friend
Sun,2019-12-08,14:00 ,Home,L,1.0,2.0,Sheffield Utd,0.8,0.8,26881.0,Alexander Tettey,4-2-3-1,Simon Hooper
Sat,2019-12-14,15:00 ,Away,D,1.0,1.0,Leicester City,1.8,1.4,32101.0,Alexander Tettey,4-2-3-1,Andy Madley
Sat,2019-12-21,15:00 ,Home,L,1.0,2.0,Wolves,1.4,1.3,27053.0,Grant Hanley,4-2-3-1,Peter Bankes
Thu,2019-12-26,15:00 ,Away,L,0.0,1.0,Aston Villa,1.3,0.6,41289.0,Grant Hanley,4-2-3-1,Chris Kavanagh
Sat,2019-12-28,17:30 ,Home,D,2.0,2.0,Tottenham,0.4,1.9,27072.0,Grant Hanley,4-2-3-1,Kevin Friend
Wed,2020-01-01,17:30 ,Home,D,1.0,1.0,Crystal Palace,1.6,1.5,27021.0,Grant Hanley,4-2-3-1,Jonathan Moss
Sat,2020-01-11,15:00 ,Away,L,0.0,4.0,Manchester Utd,0.4,2.1,73271.0,Grant Hanley,4-2-3-1,Anthony Taylor
Sat,2020-01-18,15:00 ,Home,W,1.0,0.0,Bournemouth,2.1,1.0,26781.0,Alexander Tettey,4-2-3-1,Paul Tierney
Wed,2020-01-22,19:30 ,Away,L,1.0,2.0,Tottenham,1.8,1.9,58182.0,Grant Hanley,4-2-3-1,Chris Kavanagh
Sat,2020-02-01,15:00 ,Away,D,0.0,0.0,Newcastle Utd,1.5,0.8,52204.0,Grant Hanley,4-2-3-1,Martin Atkinson
Sat,2020-02-15,17:30 ,Home,L,0.0,1.0,Liverpool,0.5,2.2,27110.0,Grant Hanley,4-2-3-1,Stuart Attwell
Sun,2020-02-23,14:00 ,Away,L,0.0,3.0,Wolves,0.4,2.8,31046.0,Grant Hanley,4-2-3-1,Chris Kavanagh
Fri,2020-02-28,20:00 ,Home,W,1.0,0.0,Leicester City,0.9,1.4,27010.0,Grant Hanley,4-2-3-1,Craig Pawson
Sat,2020-03-07,15:00 ,Away,L,0.0,1.0,Sheffield Utd,1.5,1.2,31379.0,Grant Hanley,4-2-3-1,Simon Hooper
