Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,15:00 ,Away,D,1.0,1.0,Bournemouth,1.0,1.0,10714.0,Oliver Norwood,3-5-2,Kevin Friend
Sun,2019-08-18,14:00 ,Home,W,1.0,0.0,Crystal Palace,1.6,0.3,30197.0,Oliver Norwood,3-5-2,David Coote
Sat,2019-08-24,15:00 ,Home,L,1.0,2.0,Leicester City,0.8,0.8,30079.0,Oliver Norwood,3-5-2,Andy Madley
Sat,2019-08-31,15:00 ,Away,D,2.0,2.0,Chelsea,0.9,1.7,40560.0,Oliver Norwood,3-5-2,Stuart Attwell
Sat,2019-09-14,15:00 ,Home,L,0.0,1.0,Southampton,1.8,1.2,30985.0,Oliver Norwood,3-5-2,Lee Mason
Sat,2019-09-21,15:00 ,Away,W,2.0,0.0,Everton,0.2,1.0,39354.0,Oliver Norwood,3-5-2,Simon Hooper
Sat,2019-09-28,12:30 ,Home,L,0.0,1.0,Liverpool,1.4,1.6,31774.0,Oliver Norwood,3-5-2,Anthony Taylor
Sat,2019-10-05,15:00 ,Away,D,0.0,0.0,Watford,0.6,1.6,20811.0,Oliver Norwood,3-5-2,Andre Marriner
Mon,2019-10-21,20:00 ,Home,W,1.0,0.0,Arsenal,0.9,0.8,30775.0,Oliver Norwood,3-5-2,Mike Dean
Sat,2019-10-26,15:00 ,Away,D,1.0,1.0,West Ham,1.9,2.0,59878.0,Oliver Norwood,3-5-2,David Coote
Sat,2019-11-02,15:00 ,Home,W,3.0,0.0,Burnley,2.0,0.7,31131.0,Oliver Norwood,3-5-2,Simon Hooper
Sat,2019-11-09,15:00 ,Away,D,1.0,1.0,Tottenham,1.0,1.1,59781.0,Oliver Norwood,3-5-2,Graham Scott
Sun,2019-11-24,16:30 ,Home,D,3.0,3.0,Manchester Utd,1.2,1.2,32024.0,Oliver Norwood,3-5-2,Andre Marriner
Sun,2019-12-01,14:00 ,Away,D,1.0,1.0,Wolves,1.0,1.3,31642.0,Oliver Norwood,3-5-2,David Coote
Thu,2019-12-05,19:30 ,Home,L,0.0,2.0,Newcastle Utd,1.3,0.8,30409.0,Billy Sharp,3-5-2,Stuart Attwell
Sun,2019-12-08,14:00 ,Away,W,2.0,1.0,Norwich City,0.8,0.8,26881.0,Oliver Norwood,3-5-2,Simon Hooper
Sat,2019-12-14,15:00 ,Home,W,2.0,0.0,Aston Villa,1.5,1.2,30396.0,Oliver Norwood,3-5-2,Peter Bankes
Sat,2019-12-21,15:00 ,Away,W,1.0,0.0,Brighton,1.2,0.6,30505.0,Oliver Norwood,3-5-2,Robert Jones
Thu,2019-12-26,15:00 ,Home,D,1.0,1.0,Watford,2.1,0.6,30222.0,Oliver Norwood,3-5-2,David Coote
Sun,2019-12-29,18:00 ,Away,L,0.0,2.0,Manchester City,0.9,1.0,54512.0,Oliver Norwood,3-5-2,Chris Kavanagh
Thu,2020-01-02,20:00 ,Away,L,0.0,2.0,Liverpool,0.9,3.0,53321.0,Oliver Norwood,3-5-2,Paul Tierney
Fri,2020-01-10,20:00 ,Home,W,1.0,0.0,West Ham,1.8,0.8,30124.0,Oliver Norwood,3-5-2,Michael Oliver
Sat,2020-01-18,15:00 ,Away,D,1.0,1.0,Arsenal,0.9,1.4,60310.0,Oliver Norwood,3-5-2,Mike Dean
Tue,2020-01-21,19:30 ,Home,L,0.0,1.0,Manchester City,0.8,2.8,31285.0,Billy Sharp,3-5-2,Lee Mason
Sat,2020-02-01,15:00 ,Away,W,1.0,0.0,Crystal Palace,0.6,1.1,25170.0,Billy Sharp,3-5-2,Andy Madley
Sun,2020-02-09,14:00 ,Home,W,2.0,1.0,Bournemouth,1.8,1.2,30361.0,Billy Sharp,3-5-2,Jonathan Moss
Sat,2020-02-22,15:00 ,Home,D,1.0,1.0,Brighton,1.7,1.1,31888.0,Billy Sharp,3-5-2,Graham Scott
Sat,2020-03-07,15:00 ,Home,W,1.0,0.0,Norwich City,1.2,1.5,31379.0,Billy Sharp,3-5-2,Simon Hooper
