Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,15:00 ,Away,L,0.0,3.0,Burnley,0.8,0.7,19784.0,James Ward-Prowse,3-4-3,Graham Scott
Sat,2019-08-17,15:00 ,Home,L,1.0,2.0,Liverpool,1.6,1.5,31712.0,Pierre Højbjerg,3-5-2,Andre Marriner
Sat,2019-08-24,15:00 ,Away,W,2.0,0.0,Brighton,1.6,1.0,30019.0,Pierre Højbjerg,4-2-2-2,Kevin Friend
Sat,2019-08-31,12:30 ,Home,D,1.0,1.0,Manchester Utd,0.8,1.7,30499.0,Pierre Højbjerg,4-4-2,Mike Dean
Sat,2019-09-14,15:00 ,Away,W,1.0,0.0,Sheffield Utd,1.2,1.8,30985.0,Pierre Højbjerg,3-4-3,Lee Mason
Fri,2019-09-20,20:00 ,Home,L,1.0,3.0,Bournemouth,2.2,1.3,30168.0,Pierre Højbjerg,4-2-2-2,Chris Kavanagh
Sat,2019-09-28,15:00 ,Away,L,1.0,2.0,Tottenham,1.5,0.9,59645.0,Pierre Højbjerg,3-4-1-2,Graham Scott
Sun,2019-10-06,14:00 ,Home,L,1.0,4.0,Chelsea,1.0,1.9,31473.0,Pierre Højbjerg,4-3-3,Paul Tierney
Sat,2019-10-19,15:00 ,Away,D,1.0,1.0,Wolves,1.4,0.9,30915.0,Pierre Højbjerg,3-4-3,Peter Bankes
Fri,2019-10-25,20:00 ,Home,L,0.0,9.0,Leicester City,0.4,3.6,28762.0,Pierre Højbjerg,3-5-2,Andre Marriner
Sat,2019-11-02,15:00 ,Away,L,1.0,2.0,Manchester City,0.6,2.9,53922.0,Pierre Højbjerg,3-5-2,Lee Mason
Sat,2019-11-09,15:00 ,Home,L,1.0,2.0,Everton,0.9,1.9,29754.0,James Ward-Prowse,3-4-3,Paul Tierney
Sat,2019-11-23,15:00 ,Away,D,2.0,2.0,Arsenal,2.6,1.8,60295.0,Pierre Højbjerg,4-4-2,Stuart Attwell
Sat,2019-11-30,17:30 ,Home,W,2.0,1.0,Watford,1.4,0.7,26929.0,Pierre Højbjerg,4-4-2,Michael Oliver
Wed,2019-12-04,19:30 ,Home,W,2.0,1.0,Norwich City,1.2,0.9,27019.0,Pierre Højbjerg,4-4-2,Kevin Friend
Sun,2019-12-08,14:00 ,Away,L,1.0,2.0,Newcastle Utd,2.4,1.2,42303.0,Pierre Højbjerg,4-4-2,David Coote
Sat,2019-12-14,17:30 ,Home,L,0.0,1.0,West Ham,1.0,1.0,27701.0,Pierre Højbjerg,4-4-2,Martin Atkinson
Sat,2019-12-21,15:00 ,Away,W,3.0,1.0,Aston Villa,3.0,1.1,41834.0,Pierre Højbjerg,4-4-2,Craig Pawson
Thu,2019-12-26,15:00 ,Away,W,2.0,0.0,Chelsea,0.8,0.5,40651.0,Pierre Højbjerg,4-4-2,Jonathan Moss
Sat,2019-12-28,15:00 ,Home,D,1.0,1.0,Crystal Palace,1.4,0.2,31108.0,Pierre Højbjerg,4-4-2,Andy Madley
Wed,2020-01-01,15:00 ,Home,W,1.0,0.0,Tottenham,1.4,0.7,30976.0,Pierre Højbjerg,4-4-2,Mike Dean
Sat,2020-01-11,15:00 ,Away,W,2.0,1.0,Leicester City,2.3,0.9,32115.0,Pierre Højbjerg,4-4-2,Lee Mason
Sat,2020-01-18,15:00 ,Home,L,2.0,3.0,Wolves,0.9,1.7,31152.0,Pierre Højbjerg,4-4-2,Darren England
Tue,2020-01-21,19:30 ,Away,W,2.0,0.0,Crystal Palace,1.3,0.7,23739.0,Pierre Højbjerg,4-4-2,Andre Marriner
Sat,2020-02-01,15:00 ,Away,L,0.0,4.0,Liverpool,1.0,2.9,53291.0,Pierre Højbjerg,4-4-2,Kevin Friend
Sat,2020-02-15,12:30 ,Home,L,1.0,2.0,Burnley,0.7,0.6,26302.0,Pierre Højbjerg,4-2-2-2,Simon Hooper
Sat,2020-02-22,15:00 ,Home,W,2.0,0.0,Aston Villa,3.0,0.5,31478.0,Pierre Højbjerg,4-4-2,Craig Pawson
Sat,2020-02-29,15:00 ,Away,L,1.0,3.0,West Ham,1.0,2.4,59962.0,Pierre Højbjerg,4-4-2,Anthony Taylor
Sat,2020-03-07,15:00 ,Home,L,0.0,1.0,Newcastle Utd,0.4,2.8,30096.0,Pierre Højbjerg,4-4-2,Graham Scott
