Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,17:30 ,Home,W,3.0,1.0,Aston Villa,2.6,0.6,60407.0,Hugo Lloris,4-4-2◆,Chris Kavanagh
Sat,2019-08-17,17:30 ,Away,D,2.0,2.0,Manchester City,0.2,3.0,54503.0,Hugo Lloris,4-2-3-1,Michael Oliver
Sun,2019-08-25,16:30 ,Home,L,0.0,1.0,Newcastle Utd,1.1,0.4,59245.0,Hugo Lloris,4-2-3-1,Mike Dean
Sun,2019-09-01,16:30 ,Away,D,2.0,2.0,Arsenal,2.0,2.6,60333.0,Hugo Lloris,4-2-3-1,Martin Atkinson
Sat,2019-09-14,15:00 ,Home,W,4.0,0.0,Crystal Palace,0.9,0.7,59812.0,Hugo Lloris,4-2-2-2,Craig Pawson
Sat,2019-09-21,12:30 ,Away,L,1.0,2.0,Leicester City,1.3,1.5,32129.0,Harry Kane,4-4-2◆,Paul Tierney
Sat,2019-09-28,15:00 ,Home,W,2.0,1.0,Southampton,0.9,1.5,59645.0,Hugo Lloris,4-4-2◆,Graham Scott
Sat,2019-10-05,12:30 ,Away,L,0.0,3.0,Brighton,0.7,1.9,30610.0,Hugo Lloris,4-2-3-1,Jonathan Moss
Sat,2019-10-19,15:00 ,Home,D,1.0,1.0,Watford,1.2,0.8,58754.0,Harry Kane,3-4-3,Chris Kavanagh
Sun,2019-10-27,16:30 ,Away,L,1.0,2.0,Liverpool,1.4,2.5,53222.0,Harry Kane,4-3-3,Anthony Taylor
Sun,2019-11-03,16:30 ,Away,D,1.0,1.0,Everton,0.6,0.7,39001.0,Ben Davies,4-2-3-1,Martin Atkinson
Sat,2019-11-09,15:00 ,Home,D,1.0,1.0,Sheffield Utd,1.1,1.0,59781.0,Harry Kane,4-2-3-1,Graham Scott
Sat,2019-11-23,12:30 ,Away,W,3.0,2.0,West Ham,1.7,0.8,59930.0,Harry Kane,4-2-3-1,Michael Oliver
Sat,2019-11-30,15:00 ,Home,W,3.0,2.0,Bournemouth,2.4,1.3,59626.0,Harry Kane,4-2-3-1,Lee Mason
Wed,2019-12-04,19:30 ,Away,L,1.0,2.0,Manchester Utd,0.5,1.2,73252.0,Harry Kane,4-2-3-1,Paul Tierney
Sat,2019-12-07,15:00 ,Home,W,5.0,0.0,Burnley,2.3,0.5,58401.0,Harry Kane,4-2-3-1,Kevin Friend
Sun,2019-12-15,14:00 ,Away,W,2.0,1.0,Wolves,0.9,0.8,31674.0,Harry Kane,4-2-3-1,Stuart Attwell
Sun,2019-12-22,16:30 ,Home,L,0.0,2.0,Chelsea,0.4,1.4,61104.0,Harry Kane,4-2-3-1,Anthony Taylor
Thu,2019-12-26,12:30 ,Home,W,2.0,1.0,Brighton,1.4,0.6,56308.0,Harry Kane,3-4-3,Graham Scott
Sat,2019-12-28,17:30 ,Away,D,2.0,2.0,Norwich City,1.9,0.4,27072.0,Harry Kane,3-5-2,Kevin Friend
Wed,2020-01-01,15:00 ,Away,L,0.0,1.0,Southampton,0.7,1.4,30976.0,Harry Kane,4-3-2-1,Mike Dean
Sat,2020-01-11,17:30 ,Home,L,0.0,1.0,Liverpool,1.7,1.9,61023.0,Toby Alderweireld,4-4-2,Martin Atkinson
Sat,2020-01-18,12:30 ,Away,D,0.0,0.0,Watford,1.8,1.8,21366.0,Jan Vertonghen,4-3-3,Michael Oliver
Wed,2020-01-22,19:30 ,Home,W,2.0,1.0,Norwich City,1.9,1.8,58182.0,Hugo Lloris,4-2-3-1,Chris Kavanagh
Sun,2020-02-02,16:30 ,Home,W,2.0,0.0,Manchester City,0.3,3.1,61022.0,Hugo Lloris,4-2-3-1,Mike Dean
Sun,2020-02-16,14:00 ,Away,W,3.0,2.0,Aston Villa,3.2,1.9,41874.0,Hugo Lloris,4-2-3-1,Martin Atkinson
Sat,2020-02-22,12:30 ,Away,L,1.0,2.0,Chelsea,0.5,1.7,40608.0,Hugo Lloris,3-4-3,Michael Oliver
Sun,2020-03-01,14:00 ,Home,L,2.0,3.0,Wolves,1.5,2.5,58064.0,Harry Winks,3-4-3,Stuart Attwell
Sat,2020-03-07,17:30 ,Away,D,1.0,1.0,Burnley,1.3,2.4,20496.0,Hugo Lloris,3-4-3,Jonathan Moss
