Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,15:00 ,Home,L,0.0,3.0,Brighton,0.9,0.7,20245.0,Troy Deeney,4-2-2-2,Craig Pawson
Sat,2019-08-17,15:00 ,Away,L,0.0,1.0,Everton,1.2,0.9,39066.0,Troy Deeney,4-4-2,Lee Mason
Sat,2019-08-24,15:00 ,Home,L,1.0,3.0,West Ham,2.5,3.3,20035.0,Étienne Capoue,4-2-3-1,Chris Kavanagh
Sat,2019-08-31,15:00 ,Away,D,1.0,1.0,Newcastle Utd,1.3,1.0,44157.0,Craig Cathcart,3-4-3,Graham Scott
Sun,2019-09-15,16:30 ,Home,D,2.0,2.0,Arsenal,2.6,1.0,21360.0,Étienne Capoue,4-2-3-1,Anthony Taylor
Sat,2019-09-21,15:00 ,Away,L,0.0,8.0,Manchester City,0.4,6.0,54273.0,Adrian Mariappa,4-4-1-1,Mike Dean
Sat,2019-09-28,15:00 ,Away,L,0.0,2.0,Wolves,1.0,1.5,30711.0,Étienne Capoue,4-3-3,Paul Tierney
Sat,2019-10-05,15:00 ,Home,D,0.0,0.0,Sheffield Utd,1.6,0.6,20811.0,Craig Cathcart,3-5-2,Andre Marriner
Sat,2019-10-19,15:00 ,Away,D,1.0,1.0,Tottenham,0.8,1.2,58754.0,Craig Cathcart,3-5-2,Chris Kavanagh
Sat,2019-10-26,15:00 ,Home,D,0.0,0.0,Bournemouth,0.7,1.1,20821.0,Craig Cathcart,3-5-2,Mike Dean
Sat,2019-11-02,17:30 ,Home,L,1.0,2.0,Chelsea,1.3,2.5,21011.0,Craig Cathcart,3-5-2,Anthony Taylor
Fri,2019-11-08,20:00 ,Away,W,2.0,0.0,Norwich City,0.7,0.8,27074.0,Étienne Capoue,3-5-2,Andre Marriner
Sat,2019-11-23,15:00 ,Home,L,0.0,3.0,Burnley,1.0,2.3,19711.0,Étienne Capoue,3-5-2,Paul Tierney
Sat,2019-11-30,17:30 ,Away,L,1.0,2.0,Southampton,0.7,1.4,26929.0,Étienne Capoue,3-5-2,Michael Oliver
Wed,2019-12-04,19:30 ,Away,L,0.0,2.0,Leicester City,0.3,2.8,31763.0,Troy Deeney,4-4-2,Craig Pawson
Sat,2019-12-07,15:00 ,Home,D,0.0,0.0,Crystal Palace,1.3,0.3,20070.0,Troy Deeney,4-3-3,Martin Atkinson
Sat,2019-12-14,12:30 ,Away,L,0.0,2.0,Liverpool,1.2,1.5,53311.0,Troy Deeney,4-2-3-1,Andre Marriner
Sun,2019-12-22,14:00 ,Home,W,2.0,0.0,Manchester Utd,1.5,1.8,21488.0,Troy Deeney,4-2-3-1,Lee Mason
Thu,2019-12-26,15:00 ,Away,D,1.0,1.0,Sheffield Utd,0.6,2.1,30222.0,Troy Deeney,4-2-3-1,David Coote
Sat,2019-12-28,15:00 ,Home,W,3.0,0.0,Aston Villa,2.6,0.7,21348.0,Troy Deeney,4-2-3-1,Simon Hooper
Wed,2020-01-01,15:00 ,Home,W,2.0,1.0,Wolves,0.9,1.4,20584.0,Troy Deeney,4-2-3-1,Andy Madley
Sun,2020-01-12,14:00 ,Away,W,3.0,0.0,Bournemouth,1.9,0.3,10384.0,Troy Deeney,4-2-3-1,Mike Dean
Sat,2020-01-18,12:30 ,Home,D,0.0,0.0,Tottenham,1.8,1.8,21366.0,Troy Deeney,4-2-3-1,Michael Oliver
Tue,2020-01-21,19:30 ,Away,L,1.0,2.0,Aston Villa,1.3,0.9,40867.0,Troy Deeney,4-2-3-1,Martin Atkinson
Sat,2020-02-01,15:00 ,Home,L,2.0,3.0,Everton,0.7,2.1,21229.0,Troy Deeney,4-2-3-1,Craig Pawson
Sat,2020-02-08,17:30 ,Away,D,1.0,1.0,Brighton,0.3,0.8,30443.0,Troy Deeney,4-2-3-1,Kevin Friend
Sun,2020-02-23,14:00 ,Away,L,0.0,3.0,Manchester Utd,0.3,2.3,73347.0,Troy Deeney,4-2-3-1,Martin Atkinson
Sat,2020-02-29,17:30 ,Home,W,3.0,0.0,Liverpool,2.1,0.3,21634.0,Troy Deeney,4-2-3-1,Michael Oliver
Sat,2020-03-07,15:00 ,Away,L,0.0,1.0,Crystal Palace,0.6,0.6,25461.0,Troy Deeney,4-2-3-1,Anthony Taylor
