Day,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee
Sat,2019-08-10,12:30 ,Home,L,0.0,5.0,Manchester City,0.7,3.3,59870.0,Aaron Cresswell,4-2-3-1,Mike Dean
Sat,2019-08-17,15:00 ,Away,D,1.0,1.0,Brighton,0.8,1.7,30459.0,Angelo Ogbonna,4-1-4-1,Anthony Taylor
Sat,2019-08-24,15:00 ,Away,W,3.0,1.0,Watford,3.3,2.5,20035.0,Mark Noble,4-2-3-1,Chris Kavanagh
Sat,2019-08-31,15:00 ,Home,W,2.0,0.0,Norwich City,1.8,1.3,59950.0,Mark Noble,4-1-4-1,Paul Tierney
Mon,2019-09-16,20:00 ,Away,D,0.0,0.0,Aston Villa,0.5,1.0,42010.0,Mark Noble,4-1-4-1,Mike Dean
Sun,2019-09-22,14:00 ,Home,W,2.0,0.0,Manchester Utd,0.4,1.1,59936.0,Mark Noble,4-1-4-1,Anthony Taylor
Sat,2019-09-28,15:00 ,Away,D,2.0,2.0,Bournemouth,1.4,2.0,10729.0,Mark Noble,4-1-4-1,Stuart Attwell
Sat,2019-10-05,17:30 ,Home,L,1.0,2.0,Crystal Palace,1.2,2.0,59912.0,Mark Noble,4-1-4-1,Michael Oliver
Sat,2019-10-19,12:30 ,Away,L,0.0,2.0,Everton,0.9,2.1,39263.0,Mark Noble,4-1-4-1,Paul Tierney
Sat,2019-10-26,15:00 ,Home,D,1.0,1.0,Sheffield Utd,2.0,1.9,59878.0,Mark Noble,4-1-4-1,David Coote
Sat,2019-11-02,15:00 ,Home,L,2.0,3.0,Newcastle Utd,1.8,1.6,59907.0,Mark Noble,4-1-4-1,Stuart Attwell
Sat,2019-11-09,15:00 ,Away,L,0.0,3.0,Burnley,0.5,1.7,20255.0,Mark Noble,4-4-1-1,Kevin Friend
Sat,2019-11-23,12:30 ,Home,L,2.0,3.0,Tottenham,0.8,1.7,59930.0,Mark Noble,4-4-1-1,Michael Oliver
Sat,2019-11-30,15:00 ,Away,W,1.0,0.0,Chelsea,0.9,2.0,40595.0,Mark Noble,4-4-1-1,Jonathan Moss
Wed,2019-12-04,19:30 ,Away,L,0.0,2.0,Wolves,0.4,1.9,31217.0,Mark Noble,4-4-1-1,Andre Marriner
Mon,2019-12-09,20:00 ,Home,L,1.0,3.0,Arsenal,0.6,1.7,59936.0,Mark Noble,4-4-1-1,Mike Dean
Sat,2019-12-14,17:30 ,Away,W,1.0,0.0,Southampton,1.0,1.0,27701.0,Mark Noble,4-4-2,Martin Atkinson
Thu,2019-12-26,15:00 ,Away,L,1.0,2.0,Crystal Palace,0.9,2.3,25462.0,Mark Noble,4-4-2,Andre Marriner
Sat,2019-12-28,17:30 ,Home,L,1.0,2.0,Leicester City,1.0,2.2,59919.0,Declan Rice,4-2-3-1,David Coote
Wed,2020-01-01,17:30 ,Home,W,4.0,0.0,Bournemouth,1.9,0.3,59917.0,Mark Noble,4-4-1-1,Graham Scott
Fri,2020-01-10,20:00 ,Away,L,0.0,1.0,Sheffield Utd,0.8,1.8,30124.0,Mark Noble,3-4-3,Michael Oliver
Sat,2020-01-18,15:00 ,Home,D,1.0,1.0,Everton,1.2,1.3,59915.0,Mark Noble,4-4-1-1,Andre Marriner
Wed,2020-01-22,19:30 ,Away,L,1.0,4.0,Leicester City,1.6,2.9,31968.0,Mark Noble,3-5-2,David Coote
Wed,2020-01-29,19:45 ,Home,L,0.0,2.0,Liverpool,0.8,2.4,59959.0,Mark Noble,3-4-3,Jonathan Moss
Sat,2020-02-01,15:00 ,Home,D,3.0,3.0,Brighton,0.9,2.1,59952.0,Mark Noble,4-1-4-1,Michael Oliver
Wed,2020-02-19,19:30 ,Away,L,0.0,2.0,Manchester City,0.1,2.3,52159.0,Mark Noble,3-5-2,Kevin Friend
Mon,2020-02-24,20:00 ,Away,L,2.0,3.0,Liverpool,0.6,2.8,53313.0,Mark Noble,4-2-3-1,Jonathan Moss
Sat,2020-02-29,15:00 ,Home,W,3.0,1.0,Southampton,2.4,1.0,59962.0,Mark Noble,4-2-3-1,Anthony Taylor
Sat,2020-03-07,15:00 ,Away,L,0.0,1.0,Arsenal,1.8,1.3,60335.0,Mark Noble,4-4-2,Martin Atkinson
